#
# This is an automatically generated geo file
# Script: create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


141	-4.72	-2.50	11	SIZE:0.82,ROTATE:120
142	-3.93	-2.50	4	SIZE:0.82,ROTATE:0
144	-3.15	-2.50	0	SIZE:0.82,ROTATE:0
145	-2.35	-2.50	0	SIZE:0.82,ROTATE:0
146	-1.57	-2.50	0	SIZE:0.82,ROTATE:0
147	-0.78	-2.50	0	SIZE:0.82,ROTATE:0
148	+0.01	-2.50	0	SIZE:0.82,ROTATE:0
149	+0.80	-2.50	0	SIZE:0.82,ROTATE:0
150	+1.59	-2.50	0	SIZE:0.82,ROTATE:0
151	+2.38	-2.50	0	SIZE:0.82,ROTATE:0
152	+3.17	-2.50	0	SIZE:0.82,ROTATE:0
153	+3.96	-2.50	4	SIZE:0.82,ROTATE:0
155	+4.75	-2.50	11	SIZE:0.82,ROTATE:-120
156	-4.33	-3.19	11	SIZE:0.82,ROTATE:120
157	-3.54	-3.19	0	SIZE:0.82,ROTATE:0
158	-2.75	-3.19	0	SIZE:0.82,ROTATE:0
159	-1.96	-3.19	0	SIZE:0.82,ROTATE:0
160	-1.17	-3.19	0	SIZE:0.82,ROTATE:0
161	-0.38	-3.19	0	SIZE:0.82,ROTATE:0
162	+0.41	-3.19	4	SIZE:0.82,ROTATE:0
164	+1.20	-3.19	0	SIZE:0.82,ROTATE:0
165	+1.99	-3.19	0	SIZE:0.82,ROTATE:0
166	+2.78	-3.19	0	SIZE:0.82,ROTATE:0
167	+3.57	-3.19	0	SIZE:0.82,ROTATE:0
168	+4.36	-3.19	11	SIZE:0.82,ROTATE:-120
169	-3.93	-3.88	44	SIZE:0.82,ROTATE:120
170	-3.14	-3.88	0	SIZE:0.82,ROTATE:0
171	-2.35	-3.88	0	SIZE:0.82,ROTATE:0
172	-1.56	-3.88	0	SIZE:0.82,ROTATE:0
173	-0.77	-3.88	0	SIZE:0.82,ROTATE:0
174	+0.01	-3.88	0	SIZE:0.82,ROTATE:0
175	+0.80	-3.88	0	SIZE:0.82,ROTATE:0
176	+1.59	-3.88	0	SIZE:0.82,ROTATE:0
177	+2.38	-3.88	0	SIZE:0.82,ROTATE:0
178	+3.17	-3.88	0	SIZE:0.82,ROTATE:0
179	+3.96	-3.88	44	SIZE:0.82,ROTATE:-120
180	-3.54	-4.57	11	SIZE:0.82,ROTATE:120
181	-2.75	-4.57	0	SIZE:0.82,ROTATE:0
182	-1.96	-4.57	0	SIZE:0.82,ROTATE:0
183	-1.17	-4.57	0	SIZE:0.82,ROTATE:0
184	-0.38	-4.57	0	SIZE:0.82,ROTATE:0
185	+0.41	-4.57	0	SIZE:0.82,ROTATE:0
186	+1.20	-4.57	0	SIZE:0.82,ROTATE:0
187	+1.99	-4.57	0	SIZE:0.82,ROTATE:0
188	+2.78	-4.57	0	SIZE:0.82,ROTATE:0
189	+3.57	-4.57	11	SIZE:0.82,ROTATE:-120
190	-3.14	-5.26	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5,ROTATE:-60
191	-2.35	-5.26	42	SIZE:0.82,ROTATE:180
192	-1.56	-5.26	43	SIZE:0.82,ROTATE:180
193	-0.77	-5.26	41	SIZE:0.82,ROTATE:180
194	+0.02	-5.26	41	SIZE:0.82,ROTATE:180
195	+0.80	-5.26	41	SIZE:0.82,ROTATE:180
196	+1.59	-5.26	43	SIZE:0.82,ROTATE:180
197	+2.38	-5.26	42	SIZE:0.82,ROTATE:-180,INVERT:1
198	+3.17	-5.26	11	SIZE:0.82,ROTATE:-120,X_CROP:0.5
199     +0.00   -0.20   1       SIZE:12.7,ROTATE:30,WIDTH:0.01,EDGE_SHIFT:0.6
200     +5.50   -3.90   12      SIZE:0.5
201     +5.50   -4.33   12      SIZE:0.5
202     +5.50   -4.76   12      SIZE:0.5
203     +5.50   -5.20   12      SIZE:0.5
204     +6.00   -3.90   12      SIZE:0.5
205     +6.00   -4.33   12      SIZE:0.5
206     +6.00   -4.76   12      SIZE:0.5
207     +6.00   -5.20   12      SIZE:0.5
